TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,TT,Statements_Executed,Total_Branches,Covered_Branches,BranchCoverageBitString,Random_Seed,FitnessTimeline_T1,FitnessTimeline_T2,FitnessTimeline_T3,FitnessTimeline_T4,FitnessTimeline_T5,FitnessTimeline_T6,FitnessTimeline_T7,FitnessTimeline_T8,FitnessTimeline_T9,FitnessTimeline_T10,FitnessTimeline_T11,FitnessTimeline_T12,FitnessTimeline_T13,FitnessTimeline_T14,FitnessTimeline_T15,FitnessTimeline_T16,FitnessTimeline_T17,FitnessTimeline_T18,FitnessTimeline_T19,FitnessTimeline_T20,FitnessTimeline_T21,FitnessTimeline_T22,FitnessTimeline_T23,FitnessTimeline_T24,FitnessTimeline_T25,FitnessTimeline_T26,FitnessTimeline_T27,FitnessTimeline_T28,FitnessTimeline_T29,FitnessTimeline_T30,FitnessTimeline_T31,FitnessTimeline_T32,FitnessTimeline_T33,FitnessTimeline_T34,FitnessTimeline_T35,FitnessTimeline_T36,FitnessTimeline_T37,FitnessTimeline_T38,FitnessTimeline_T39,FitnessTimeline_T40,FitnessTimeline_T41,FitnessTimeline_T42,FitnessTimeline_T43,FitnessTimeline_T44,FitnessTimeline_T45,FitnessTimeline_T46,FitnessTimeline_T47,FitnessTimeline_T48,FitnessTimeline_T49,FitnessTimeline_T50,FitnessTimeline_T51,FitnessTimeline_T52,FitnessTimeline_T53,FitnessTimeline_T54,FitnessTimeline_T55,FitnessTimeline_T56,FitnessTimeline_T57,FitnessTimeline_T58,FitnessTimeline_T59,FitnessTimeline_T60,FitnessTimeline_T61,FitnessTimeline_T62,FitnessTimeline_T63,FitnessTimeline_T64,FitnessTimeline_T65,FitnessTimeline_T66,FitnessTimeline_T67,FitnessTimeline_T68,FitnessTimeline_T69,FitnessTimeline_T70,FitnessTimeline_T71,FitnessTimeline_T72,FitnessTimeline_T73,FitnessTimeline_T74,FitnessTimeline_T75,FitnessTimeline_T76,FitnessTimeline_T77,FitnessTimeline_T78,FitnessTimeline_T79,FitnessTimeline_T80,FitnessTimeline_T81,FitnessTimeline_T82,FitnessTimeline_T83,FitnessTimeline_T84,FitnessTimeline_T85,FitnessTimeline_T86,FitnessTimeline_T87,FitnessTimeline_T88,FitnessTimeline_T89,FitnessTimeline_T90,FitnessTimeline_T91,FitnessTimeline_T92,FitnessTimeline_T93,FitnessTimeline_T94,FitnessTimeline_T95,FitnessTimeline_T96,FitnessTimeline_T97,FitnessTimeline_T98,FitnessTimeline_T99,FitnessTimeline_T100,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30,CoverageTimeline_T31,CoverageTimeline_T32,CoverageTimeline_T33,CoverageTimeline_T34,CoverageTimeline_T35,CoverageTimeline_T36,CoverageTimeline_T37,CoverageTimeline_T38,CoverageTimeline_T39,CoverageTimeline_T40,CoverageTimeline_T41,CoverageTimeline_T42,CoverageTimeline_T43,CoverageTimeline_T44,CoverageTimeline_T45,CoverageTimeline_T46,CoverageTimeline_T47,CoverageTimeline_T48,CoverageTimeline_T49,CoverageTimeline_T50,CoverageTimeline_T51,CoverageTimeline_T52,CoverageTimeline_T53,CoverageTimeline_T54,CoverageTimeline_T55,CoverageTimeline_T56,CoverageTimeline_T57,CoverageTimeline_T58,CoverageTimeline_T59,CoverageTimeline_T60,CoverageTimeline_T61,CoverageTimeline_T62,CoverageTimeline_T63,CoverageTimeline_T64,CoverageTimeline_T65,CoverageTimeline_T66,CoverageTimeline_T67,CoverageTimeline_T68,CoverageTimeline_T69,CoverageTimeline_T70,CoverageTimeline_T71,CoverageTimeline_T72,CoverageTimeline_T73,CoverageTimeline_T74,CoverageTimeline_T75,CoverageTimeline_T76,CoverageTimeline_T77,CoverageTimeline_T78,CoverageTimeline_T79,CoverageTimeline_T80,CoverageTimeline_T81,CoverageTimeline_T82,CoverageTimeline_T83,CoverageTimeline_T84,CoverageTimeline_T85,CoverageTimeline_T86,CoverageTimeline_T87,CoverageTimeline_T88,CoverageTimeline_T89,CoverageTimeline_T90,CoverageTimeline_T91,CoverageTimeline_T92,CoverageTimeline_T93,CoverageTimeline_T94,CoverageTimeline_T95,CoverageTimeline_T96,CoverageTimeline_T97,CoverageTimeline_T98,CoverageTimeline_T99,CoverageTimeline_T100,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Search_Time,TT_TIME,BOOLEAN_JUMPS,DEPENDENT_UPDATES,INSTRUMENTED_CLASSES
FlagTest2,BRANCH,1.0,2,2,true,89451,10,6,11,1,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999973863042342,10.999958582488341,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.999834546494789,10.99983383183782,10.99983383183782,10.999830591234597,10.999828796438965,10.99944263878396,10.999395039322444,10.999395039322444,10.999171110079395,10.999074074074073,10.999074074074073,10.999074074074073,10.999039385206531,10.999028181933198,10.998987854251013,10.998296008319608,10.996575342465754,10.996575342465754,10.996575342465754,10.99644128113879,10.995633934324903,10.994125679904101,10.991086409165375,10.96459392945037,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,11020,0,2,2,1
FlagTest2,BRANCH,0.5,2,1,false,87120,10,4,10,1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,11024,0,0,0,0
FlagTest2,BRANCH,0.5,2,1,false,85265,10,4,10,1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,11019,0,0,0,0
FlagTest2,BRANCH,1.0,2,2,true,78212,10,6,11,1,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999978632478632,10.999973863042342,10.999969332679097,10.999931495056854,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.99990133201776,10.999836956404721,10.99983383183782,10.99983383183782,10.99983383183782,10.999828796438965,10.999611166607165,10.999395039322444,10.999395039322444,10.999395039322444,10.999074074074073,10.999074074074073,10.999074074074073,10.999074074074073,10.999039385206531,10.99901768172888,10.998985855592032,10.997031756475902,10.996575342465754,10.996575342465754,10.996575342465754,10.99644128113879,10.99558575251373,10.994280655685525,10.991129231529529,10.974088050314466,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,11029,0,2,2,1
